Handle,Display Name,DID,Follows Me
mattierae.bsky.social,MattieRae,did:plc:jsqmci4tlpvr4pu3yov77xzh,True,2024-11-18 15:52:32.248372+00:00
akwfalcon3.bsky.social,,did:plc:baqxtu5wzfydj6ukz62tcvoj,True,2024-11-18 15:52:32.248374+00:00
esj2525.bsky.social,Elaine,did:plc:gjohakri63zne6tztxjn6ast,True,2024-11-18 15:52:32.248377+00:00
mom2three.bsky.social,mom2three,did:plc:44xgkdblaqobgrqbtshgjn7j,True,2024-11-18 15:52:32.248379+00:00
blondiebombshell.bsky.social,Tracy,did:plc:vd2xd4wxgmmkya2my2bifxg7,True,2024-11-18 15:52:32.248381+00:00
birdieguy.bsky.social,Alan 💙⚖️⚛️,did:plc:refbbijibnvrrhgijhzjr6he,True,2024-11-18 15:52:32.248383+00:00
cobra1935.bsky.social,Benny ,did:plc:mmdnjp7cy7kdr64f26sdszje,True,2024-11-18 15:52:32.248386+00:00
beaver58.bsky.social,Ren & Stimpy,did:plc:62nwopqhdmrbfb4kt5w7dqjp,True,2024-11-18 15:52:32.248388+00:00
subdude.bsky.social,The Quantum Mechanic,did:plc:tsfpb3iq732t6cdwz35yzw7j,True,2024-11-18 15:52:32.248391+00:00
jcoll4.bsky.social,Julie 🌊🌻🇺🇦☮️🕊️🏳️‍🌈,did:plc:qpmx752brih4exf4mfaafnb7,True,2024-11-18 15:52:32.248394+00:00
maestramarney.bsky.social,Just Me Marney,did:plc:s4lug47txma2zlumu6jyoktk,True,2024-11-18 15:52:32.248396+00:00
larsed93.bsky.social,LORENZO24 ,did:plc:wtkyonqio6p6rcmdb6jbbzbi,True,2024-11-18 15:52:32.248399+00:00
grandma5.bsky.social,,did:plc:emljn3krm6y4lis2dol3re6o,True,2024-11-18 15:52:32.248401+00:00
brend69.bsky.social,brend69,did:plc:myhcnvw6bp2xdkgbo5y2mavy,True,2024-11-18 15:52:32.248403+00:00
apmarie.bsky.social,Antipatriarchymarie,did:plc:t6jwag7umn54dns32tjyivwk,True,2024-11-18 15:52:32.248405+00:00
annie-resists.bsky.social,Annie Resists,did:plc:gztrpsy46nfw6xbsnmccdovm,True,2024-11-18 15:52:32.248408+00:00
dominiquemanou.bsky.social,Dominique Manou,did:plc:r7e5pfbcneddkqij5oilrp2n,True,2024-11-18 15:52:32.248410+00:00
rowanresists.bsky.social,Rowan,did:plc:simylxhja7zcnoarv5wo2gyu,True,2024-11-18 15:52:32.248412+00:00
viv43.bsky.social,VivianC,did:plc:zz4gtrrblscs7h4mdvydvey6,True,2024-11-18 15:52:32.248414+00:00
jarhead80.bsky.social,Ted,did:plc:nxj3gbn4fgdfgivmrcih5y2u,True,2024-11-18 15:52:32.248416+00:00
trumpsatwit.bsky.social,Robin,did:plc:rdnujwko22z2kzfur76qvkvu,True,2024-11-18 15:52:32.248417+00:00
