Handle,Display Name,DID,Follows Me
woofwoof65.bsky.social,,did:plc:tnehrfmw5ljqgpypn3ywczuh,True
jessicamiles.bsky.social,Jessica,did:plc:43eqhmynhvxgoxspydnwj4g5,True
kevinbidwell.bsky.social,,did:plc:zd3tmmapjbv4o3rglppfhdww,True
booksbyroni.bsky.social,Books By Roni 💙📚,did:plc:zvh6jyo5mklawocsm7otyjaz,True
cjinsb.bsky.social,CJ,did:plc:aprzxweumlvgjbpteap7imb3,True
over70.bsky.social,Concerned Papa,did:plc:z74ekjwkzvqmyp4ja6kfbs6q,True
ckshadow.bsky.social,The Shadow Knows,did:plc:y7rsa6uzpealcnbk2d226uq6,True
sistosterone.bsky.social,Michael sisto,did:plc:ss4p3tcd7uj3xo3fbiceur3o,True
richmondfrog.bsky.social,,did:plc:jg55i2ev5rvz6wj2sjfc3tsp,True
wolftop.bsky.social,Brian D,did:plc:bmk6i4gnyegpbd4xqv5rqsuq,True
michaelsoetaert.bsky.social,Michael Soetaert for Senate,did:plc:mxx3sttzv4a2lz6v3zwyabhc,True
xocrochetchicox.bsky.social,Lissy,did:plc:6xvn76ouv6mbzr6w2bbuimu5,True
kultasuu.bsky.social,Henrik Uddvarg,did:plc:wpkdwxwtkfhzzo4vvqtfi5ry,True
tink2020.bsky.social,Karen,did:plc:o5dgiektfjlaxsdfxzvtenek,True
jdhog.bsky.social,Jeanne Hog Fan,did:plc:skdxvihxz66tzfe5xrbelvqz,True
spnshfly.bsky.social,,did:plc:ccbebsbdsewhii32wtyayxbs,True
kerriellison.bsky.social,Kerri Ellison,did:plc:5ik4lb44kezc35uvq3ftrxln,True
tedecho.bsky.social,Tedecho,did:plc:f4qcrrxotkx7qzsmrw5mkjsj,True
wigg35.bsky.social,Julian Andreas Wiggins,did:plc:egkzhohfstcdqrap56msud5b,True
thedoggydaddy.bsky.social,Dennis2Society,did:plc:tabohhc7llxam6dg63frbiky,True
mintyteaboy.bsky.social,Michael David Moss,did:plc:tjusfwk5ed6vw4ftbny65e7s,True
dinosonoff.bsky.social,Dino,did:plc:rkpum5p3pjohjz5hqimfjjhj,True
heard39.bsky.social,Ramon Heard jr.,did:plc:52urhknvybs6qxm4dv7gytkw,True
misspeaks.bsky.social,MissPeaks,did:plc:bhe2bikn7bbmoofibmrlvqxg,True
leb2222.bsky.social,Lesley,did:plc:kbv4c22fp5ov7g6ggifm4rda,True
cardinalbigglere.bsky.social,Cardinal Biggles McFerryFace,did:plc:hkfrzofftu6tlrfsrlu2gdpz,True
greenleeshorty.bsky.social,,did:plc:6tmusf5hhvmedgglozz33y24,True
