Handle,Display Name,DID,Follows Me
alyankovic.bsky.social,Al Yankovic,did:plc:jutmjylg2h4tpev7wrvy2ay3,False
minnesorta.bsky.social,minnesorta,did:plc:5algtnekqk37q2bexsco4rc7,False
shoq.bsky.social,Shoq,did:plc:hvwm6oxhn6wtawvztgudugvd,False
pwnallthethings.bsky.social,Pwnallthethings,did:plc:ovyajbnegrir2ddtwfhijiob,False
angiecoiro.bsky.social,Angie Coiro,did:plc:trdh5vfr662j4jec5mvnoosz,True
stuartpstevens.bsky.social,,did:plc:wir2oetdgfeccxrehfphllnc,False
rachelgilmore.bsky.social,Rachel Gilmore,did:plc:4yb2pjejfziah3eork7stm6j,False
loughy.bsky.social,Loughy (Fan and Appreciation Account),did:plc:bp767srmdbs2wppdsgbca7rh,False
stephycelebs.bsky.social,StephyCelebs,did:plc:id7ro5pms34x6uibspod2o5n,False
alyciaxcelebs.bsky.social,Dani,did:plc:26e6ahryukanrgwqua5dv53k,False
rockingwelsh.bsky.social,𝘾𝙚𝙡𝙚𝙗𝙕𝙤𝙣𝙚,did:plc:q4dhj7jnmpyogusnai3va7c2,False
sykescharlie.bsky.social,Charlie Sykes,did:plc:7igkthfscmolwhaexyywmzqd,False
popovaprof.bsky.social,Maria Popova,did:plc:wvtwsjgvhu6ppzhbclzd6y76,False
eroticsally.bsky.social,Sally Franklin,did:plc:istxp73njgbgqngwprqtekup,True
retrosexy.bsky.social,Retro Sexy,did:plc:6rwlvmb6hrz7nst54lpqrbbi,False
69shadesofegg.bsky.social,Andrew Smith,did:plc:5sjsydv2oamteyi4xpy3tjph,False
smokincelebs.bsky.social,Smokin Celebs,did:plc:jsedoeltnxmkecyx7if5p2xe,False
agelesssbeauty.bsky.social,They Are Beautiful,did:plc:cqru3cmlzbhq4choeoa6n6ia,False
yoshikoherrera.bsky.social,Yoshiko Herrera,did:plc:bmmnyqfq2mlazwtfquxk6ww2,False
roastmalone.bsky.social,Stoned cold fox ,did:plc:twjswemlrrh72f6pfggkzk6p,False
michaelemann.bsky.social,Michael E. Mann,did:plc:mpoxsaax7r5rs2tgeh56nqhn,False
