Handle,Display Name,DID,Follows Me
g-joubert54.bsky.social,g-joubert54.bsky.social,did:plc:llzmbbzodkhjx7xrl6qevt3z,False
odie69.bsky.social,,did:plc:sm2drccdiiz7sdnij4o4jycv,False
erikalyn22.bsky.social,Erika,did:plc:g52p5gqbthzdqmm7nxso3pel,False
snarky-op.bsky.social,,did:plc:hb5ibnhfnvihit4qxvfgbzj2,False
lakarma1.bsky.social,Lady Karma,did:plc:vyu6dg4u3ouomy274pszbtz5,False
skybluerose.bsky.social,,did:plc:s5mh3nhvxcvsyefk35iytgew,False
gailphardie.bsky.social,Gail P Hardie,did:plc:abqaeoj25nosuu4xppw7l3qq,False
bluewitch15.bsky.social,,did:plc:e7fqsyqs5qfjl6l56xvjnsup,False
bluewaters.bsky.social,BlueWaters (Diana),did:plc:srw6w42olehpectm3kaaoo27,False
tslaya.bsky.social,Tee Slaya,did:plc:qyp4wwzmdbvuadwndil5oj5b,False
adamhicks.bsky.social,Adam Hicks,did:plc:y4i4r47wnegp53utkytuuxz6,False
glittergirl56.bsky.social,Glittergirl56,did:plc:ad34rjlggbg3kdepuvvn6az2,False
gtm1983vf.bsky.social,GTM1983VF,did:plc:ksqaoylmsoeorgic7wvqnw3n,False
blue-tortoise.bsky.social,J9inMA,did:plc:mukec237yx3fjgwhelz73uw6,False
pearsereynolds.bsky.social,Pearse Reynolds 💙🔶🇮🇪🇪🇺,did:plc:agnpbmwklcfp4d5tvjnhfhju,False
maviscave.bsky.social,Mike Wallace,did:plc:45kicpzrog2vpgqqmum2ktvy,False
imflywithangels.bsky.social,fly_dragon,did:plc:pdzv4p3yf5nklpgsj56sakbc,False
lmichelleandres.bsky.social,LMichelle,did:plc:mg6lcesivof3xicpmqqwjuad,False
klee1307.bsky.social,Katina Lee,did:plc:zs6vda3oxhjiy3nqacke76ra,False
veryheavyuncle.bsky.social,Uncle D.L.,did:plc:js7ux3dosb64zfv25lcxfqzb,False
dollym1852.bsky.social,,did:plc:lmz7k7fasaxymnxpj5ixzunq,False
nottechie.bsky.social,,did:plc:5rffjht7o7cdv7qrtqwln6pc,False
itsjustmeagain.bsky.social,Itsjustmeagain,did:plc:ud7gafxk6jfvl5d7zsd7uemp,False
bonfiremedia.bsky.social,Michael S BALLARD,did:plc:zybm6wnqhwrhvjdles4tg7h6,False
ljdion.bsky.social,Lorraine J Dion,did:plc:7c43k5yhddrrd22a5dadneiz,False
scootertramp.bsky.social,Scooter Tramp,did:plc:7vldlvcsqnuuyhqcyoepyrjc,False
newmexresist.bsky.social,,did:plc:eaqp2qrh72zrunbtfhsdbeon,False
mamalouies68.bsky.social,🇺🇸✌🏻💙Chica💙✌🏻🇺🇸,did:plc:en72p3plh5telfmalgwpihij,False
kevinds.bsky.social,Kevin D.,did:plc:6h4m6mcwerfekn2qrpg4k4dp,False
lgsawyer.bsky.social,Lisa Sawyer,did:plc:tjnr45motwsgppt2d2upc3g4,False
liberalbitchjo.bsky.social,Jo🦋,did:plc:2y3lvvhwn7uacym35r37orxp,False
dawnresists.bsky.social,DawnResists 🦋,did:plc:3qtsi6fulqp7eii3wrpzotlz,False
canyonjayinpa.bsky.social,CanyonJayinPA,did:plc:5siqqkgzjb57bmfg5jnqdgif,False
ladidastorm.bsky.social,Robin 🦋,did:plc:kkeiop6tu3cp3cueewsubxtf,False
darwunstjames.bsky.social,Darwun St James,did:plc:l7g3ishqycqkojb54gyifrvp,False
msbethmartineza.bsky.social,Beth A. Martinez,did:plc:pvxj5ty6rsxrahz3lvqa2xmg,False
judgesmails.bsky.social,Leauregard Formagafuqs ,did:plc:ah3kh6g7z2cun4ffcyooygjh,False
nikwiththecamera.bsky.social,Big Debbie,did:plc:m2x6rcyyf5bpcdodfald5p7c,False
mnsharpe.bsky.social,Sharpey,did:plc:rwug2xlybv5ma6vidzxerpt5,False
purple-noodle.bsky.social,Amber Bound,did:plc:k4kv3rhxwyywddpwxzbkab4h,False
shevawn.bsky.social,Shevawn Weber,did:plc:awjnyjz3bsugkfxwgmtw5j37,False
homemademonster.bsky.social,Patricia A,did:plc:mzv33akp5l32u2iwxq44pzqr,False
seeker46x.bsky.social,Seeker46x,did:plc:nj5bgz3rdf3uxw6d5kiwxhgy,False
aquariusunknown.bsky.social,Aquariusunknown,did:plc:3n4o3bvaj3fzml3b2k6p4pdy,False
fiftylions.bsky.social,John N,did:plc:qxa4qxsciqceyepl2wxl2cdp,False
oceansfavorite7.bsky.social,Kimberley Angel 🇮🇪🇺🇸🍀,did:plc:zrz4svv44fkvwv6tmp5m7yhh,False
not-backingdown.bsky.social,Not Backing Down (Notorious NBD),did:plc:x7nzmqirniv6nnn6ixtpcccf,False
margej826.bsky.social,Margaret Judge,did:plc:zfut76runq6k5p7rt7kf7v7p,False
hammie777.bsky.social,Doug Hammond,did:plc:dgtobzn7c2qiye22witgushu,False
valuesandvoice.bsky.social,Christa,did:plc:76uzzfsh7bgi4kicxwlbebl3,False
ckronstedt.bsky.social,Chuck,did:plc:pn6ed37ciixkk2w563d5wu3e,False
